Month,Average USD/GBP=,Min USD/GBP=,Max USD/GBP=,Nb of working days
7/1984,0.757196,0.74233,0.765636,22
6/1984,0.725522,0.711413,0.74329,21
5/1984,0.7198220000000001,0.7086819999999999,0.7265510000000001,23
4/1984,0.702941,0.694495,0.715859,21
3/1984,0.6867810000000001,0.672482,0.7,22
2/1984,0.695148,0.669866,0.710807,21
1/1984,0.709083,0.69084,0.715274,22
12/1983,0.6972659999999999,0.683904,0.70643,22
11/1983,0.676823,0.669456,0.686129,22
10/1983,0.6677810000000001,0.659239,0.6778810000000001,21
9/1983,0.667237,0.662254,0.670531,22
8/1983,0.6658,0.651943,0.67637,23
7/1983,0.654036,0.645718,0.659153,21
6/1983,0.645073,0.628052,0.660493,22
5/1983,0.635201,0.620685,0.6433,22
4/1983,0.651192,0.636354,0.675341,21
3/1983,0.670868,0.6594979999999999,0.6871109999999999,23
2/1983,0.652629,0.6452859999999999,0.659483,20
1/1983,0.634606,0.614692,0.6535380000000001,21
12/1982,0.6176659999999999,0.610696,0.622889,23
11/1982,0.612352,0.593546,0.629795,22
10/1982,0.589122,0.581605,0.597625,21
9/1982,0.583647,0.5748949999999999,0.590699,22
8/1982,0.579264,0.566503,0.59,22
7/1982,0.576178,0.567376,0.5853119999999999,22
6/1982,0.569152,0.556829,0.582924,22
5/1982,0.5518890000000001,0.5425409999999999,0.5581149999999999,21
4/1982,0.565233,0.558128,0.570083,22
3/1982,0.553078,0.543449,0.561181,23
2/1982,0.541515,0.534428,0.550912,20
1/1982,0.5297310000000001,0.517563,0.5396770000000001,21
12/1981,0.524983,0.511994,0.5366770000000001,23
11/1981,0.5255449999999999,0.507368,0.535913,21
10/1981,0.5427,0.524507,0.552983,22
9/1981,0.5509689999999999,0.537988,0.565353,22
8/1981,0.5490229999999999,0.5332100000000001,0.5681470000000001,21
7/1981,0.533403,0.522888,0.540989,23
6/1981,0.505788,0.484343,0.518269,22
5/1981,0.47807700000000003,0.46699700000000005,0.48439799999999994,21
4/1981,0.45959700000000003,0.44598999999999994,0.46699700000000005,22
3/1981,0.44859899999999997,0.43940799999999997,0.459027,22
2/1981,0.43563,0.42363199999999995,0.45327799999999996,20
1/1981,0.415946,0.411868,0.420596,22
12/1980,0.42631899999999995,0.41876899999999995,0.43262799999999996,23
11/1980,0.41689899999999996,0.408238,0.424417,20
10/1980,0.41370200000000007,0.40742399999999995,0.418886,23
9/1980,0.416217,0.413338,0.41955200000000004,22
8/1980,0.422001,0.417786,0.428336,21
7/1980,0.421465,0.41736,0.42716000000000004,23
6/1980,0.42781199999999997,0.423357,0.43036800000000003,21
5/1980,0.43441199999999996,0.42130100000000004,0.441561,22
4/1980,0.45297,0.435971,0.468817,22
3/1980,0.45318400000000003,0.44089700000000004,0.460821,21
2/1980,0.43660200000000005,0.432943,0.44051999999999997,21
1/1980,0.44198999999999994,0.43653400000000003,0.44938999999999996,23
12/1979,0.454825,0.448114,0.461042,21
11/1979,0.46979799999999994,0.455383,0.48491300000000004,22
10/1979,0.46599799999999997,0.455718,0.48201700000000003,23
9/1979,0.45489399999999997,0.44408800000000004,0.46796800000000005,20
8/1979,0.446667,0.439391,0.45201099999999994,23
7/1979,0.44245200000000007,0.429124,0.45680600000000005,22
6/1979,0.47405,0.460974,0.48385600000000006,21
5/1979,0.485984,0.480365,0.489854,23
4/1979,0.481979,0.475703,0.48876499999999995,21
3/1979,0.490777,0.483458,0.494751,22
2/1979,0.49894399999999994,0.493638,0.504875,20
1/1979,0.498346,0.488361,0.502888,23
12/1978,0.503655,0.48962799999999995,0.516837,21
11/1978,0.509389,0.48642299999999994,0.518206,22
10/1978,0.498472,0.477354,0.508012,22
9/1978,0.510729,0.503979,0.51777,21
8/1978,0.514995,0.500649,0.521049,23
7/1978,0.527814,0.516633,0.536637,21
6/1978,0.5444359999999999,0.5369470000000001,0.55004,22
5/1978,0.550006,0.5457850000000001,0.553581,23
4/1978,0.540335,0.532328,0.550715,20
3/1978,0.524362,0.5128729999999999,0.538748,23
2/1978,0.515412,0.512302,0.519231,20
1/1978,0.517263,0.50502,0.528126,22
12/1977,0.538768,0.522836,0.550298,22
11/1977,0.549512,0.5401739999999999,0.5534180000000001,22
10/1977,0.564828,0.5460010000000001,0.569585,21
9/1977,0.573562,0.5726979999999999,0.574234,22
8/1977,0.5746100000000001,0.573734,0.575577,23
7/1977,0.580597,0.573588,0.581673,21
6/1977,0.5816520000000001,0.580933,0.582286,22
5/1977,0.581845,0.5813050000000001,0.582479,22
4/1977,0.581651,0.581394,0.582174,21
3/1977,0.582363,0.581191,0.584108,23
2/1977,0.584735,0.582438,0.588292,20
1/1977,0.5836600000000001,0.580277,0.587741,21
12/1976,0.595789,0.587687,0.603629,23
11/1976,0.611154,0.594225,0.629361,22
10/1976,0.6095430000000001,0.596542,0.6385390000000001,21
9/1976,0.57789,0.563295,0.6078859999999999,22
8/1976,0.560874,0.557756,0.564562,22
7/1976,0.559872,0.554016,0.563947,22
6/1976,0.567009,0.56095,0.582004,22
5/1976,0.553143,0.5439970000000001,0.568048,21
4/1976,0.5413640000000001,0.531803,0.551543,22
3/1976,0.514273,0.49308500000000005,0.522857,23
2/1976,0.49335100000000004,0.49225,0.49411000000000005,20
1/1976,0.49308,0.49129799999999996,0.496015,22
12/1975,0.49461700000000003,0.49333599999999994,0.49595900000000004,23
11/1975,0.487654,0.482328,0.49568,20
10/1975,0.486275,0.48127600000000004,0.49259,23
9/1975,0.479451,0.47300299999999995,0.4914,22
8/1975,0.473009,0.46605100000000005,0.477103,21
7/1975,0.457912,0.453495,0.46633500000000006,23
6/1975,0.438352,0.42994899999999997,0.456268,21
5/1975,0.430649,0.425098,0.434771,22
4/1975,0.421966,0.41501800000000005,0.42682700000000007,22
3/1975,0.41356499999999996,0.411207,0.41616099999999995,21
2/1975,0.417677,0.412067,0.42300200000000004,20
1/1975,0.42334099999999997,0.417121,0.427965,23
12/1974,0.429587,0.42570699999999995,0.432501,22
11/1974,0.429467,0.42569300000000004,0.433508,21
10/1974,0.428703,0.427439,0.430594,23
9/1974,0.431721,0.42861499999999997,0.43319799999999997,21
8/1974,0.42619700000000005,0.419054,0.43236899999999995,22
7/1974,0.41826499999999994,0.416134,0.42065,23
6/1974,0.418468,0.41572299999999995,0.4245,20
5/1974,0.414025,0.410462,0.418642,23
4/1974,0.41865,0.411537,0.42439499999999997,22
3/1974,0.427389,0.41695600000000005,0.440429,21
2/1974,0.439249,0.432278,0.44922799999999996,20
1/1974,0.4489,0.43075699999999995,0.46111,23
12/1973,0.43128,0.427202,0.43325699999999995,21
11/1973,0.418209,0.41000299999999995,0.42799,22
10/1973,0.411646,0.407688,0.414497,23
9/1973,0.413361,0.40665300000000004,0.416466,20
8/1973,0.403742,0.397384,0.407157,23
7/1973,0.393316,0.387002,0.403388,22
6/1973,0.38815900000000003,0.386797,0.389275,21
5/1973,0.39514,0.3878,0.401756,23
4/1973,0.40262600000000004,0.401756,0.403898,21
3/1973,0.401912,0.400198,0.406484,22
2/1973,0.41279799999999994,0.402977,0.420306,20
1/1973,0.424558,0.42027200000000003,0.426151,23
12/1972,0.426387,0.42497299999999993,0.427967,21
11/1972,0.425343,0.42440500000000003,0.427138,22
10/1972,0.41739499999999996,0.412368,0.428642,22
9/1972,0.409507,0.40827399999999997,0.413174,21
8/1972,0.408103,0.40739899999999996,0.40878200000000003,23
7/1972,0.409107,0.40666199999999997,0.41406400000000004,21
6/1972,0.387679,0.382689,0.408532,22
5/1972,0.382727,0.382243,0.38314899999999996,23
4/1972,0.383079,0.382115,0.383823,20
3/1972,0.381846,0.37751599999999996,0.383918,23
2/1972,0.38405500000000004,0.38319200000000003,0.385874,21
1/1972,0.389033,0.385419,0.39216100000000004,21
12/1971,0.395752,0.391328,0.40097,23
11/1971,0.401044,0.400897,0.40132199999999996,22
10/1971,0.401428,0.400878,0.40218000000000004,21
9/1971,0.405017,0.402366,0.407195,22
8/1971,0.41106899999999996,0.403499,0.413642,22
7/1971,0.41343100000000005,0.413268,0.41356800000000005,22
6/1971,0.41335500000000003,0.41317299999999996,0.41375100000000004,22
5/1971,0.41342799999999996,0.413203,0.41430600000000006,21
4/1971,0.413601,0.413274,0.41443100000000005,22
3/1971,0.413433,0.413286,0.414004,23
2/1971,0.413605,0.41328400000000004,0.41425,20
1/1971,0.415815,0.413709,0.417822,21
12/1970,0.418235,0.417735,0.41863599999999995,23
11/1970,0.418318,0.418023,0.418584,21
10/1970,0.41884899999999997,0.418304,0.419206,22
9/1970,0.419282,0.41881899999999994,0.419951,22
8/1970,0.418763,0.418178,0.419526,21
7/1970,0.41830100000000003,0.417433,0.418741,23
6/1970,0.417013,0.41666499999999995,0.41747700000000004,22
5/1970,0.41598500000000005,0.415617,0.41650600000000004,21
